title     ,image     ,description     ,price     
Ноутбук Asus TUF Gaming FA507RC-HN007W AMD Ryzen 7 6800H 48GB DDR5 256GB SSD NVMe NVIDIA RTX3050 FHD IPS Backlit Mecha Gray,https://www.kivano.kg/images/product/122947/1688018449_24122200.jpg,"15.6"" IPS 1920x1080~144Hz; процессор AMD Ryzen 7 6800H; оперативная память 48GB DDR5; накопитель 256GB SSD NVMe; видеокарта NVIDIA RTX3050; без операционной системы",98530 сом
Ноутбук Lenovo V15 Intel Core i3-10110U 4GB DDR 480GB SSD Intel HD Graphics 620 FHD DOS серый,https://www.kivano.kg/images/product/110404/1662011673_21082600.jpg,Тип: ноутбук; Операционная система: DOS; Процессор: Intel Core i3-10110U; Разрешение экрана: 1920x108 Full HD; Графический контроллер: Intel HD Graphics 620; Объем оперативной памяти: 4 GB DDR4; Объем накопителя SSD: 480 GB; Вес: от 1.85 кг,29710 сом
Ноутбук Acer Aspire A315-58G-72KY Intel Core i7-1165G7 8GB DDR4 120GB SSD NVIDIA MX350 FHD Pure Silver,https://www.kivano.kg/images/product/121156/1684225791_44357300.jpg,"15.6"" LCD 1920x1080~60Hz; процессор Intel Core i7-1165G7; оперативная память 8GB DDR4; накопитель 120GB SSD; видеокарта NVIDIA MX350; без операционной системы",53830 сом
Ноутбук Asus TUF Gaming FA507RC-HN007W AMD Ryzen 7 6800H 64GB DDR5 256GB SSD NVMe NVIDIA RTX3050 FHD IPS Backlit Mecha Gray,https://www.kivano.kg/images/product/122948/1688018534_51613300.jpg,"15.6"" IPS 1920x1080~144Hz; процессор AMD Ryzen 7 6800H; оперативная память 64GB DDR5; накопитель 256GB SSD NVMe; видеокарта NVIDIA RTX3050; без операционной системы",104430 сом
Ноутбук Acer Aspire A315 Intel Core i7-1255U 8GB DDR4 480GB SSD NVIDIA MX550 FHD DOS silver,https://www.kivano.kg/images/product/115013/1670839547_12607000.png,Тип: ноутбук; Операционная система: DOS; Разрешение: 1920x1080 Full HD; Процессор: Intel Core i7-1255U (10/12); Объем оперативной памяти: 8 GB DDR4; Объем накопителя: 480 GB SSD; Видеоконтроллер: NVIDIA MX550; Вес: от 1.78 кг,60200 сом
Ноутбук Acer Aspire A315-58G-72KY Intel Core i7-1165G7 12GB DDR4 120GB SSD NVIDIA MX350 FHD Pure Silver,https://www.kivano.kg/images/product/121157/1684225797_67199400.jpg,"15.6"" LCD 1920x1080~60Hz; процессор Intel Core i7-1165G7; оперативная память 12GB DDR4; накопитель 120GB SSD; видеокарта NVIDIA MX350; без операционной системы",54930 сом
Ноутбук Asus TUF Gaming FA507RC-HN007W AMD Ryzen 7 6800H 8GB DDR5 512GB SSD NVMe NVIDIA RTX3050 FHD IPS Backlit Mecha Gray,https://www.kivano.kg/images/product/122949/1688018722_58071600.jpg,"15.6"" IPS 1920x1080~144Hz; процессор AMD Ryzen 7 6800H; оперативная память 8GB DDR5; накопитель 512GB SSD NVMe; видеокарта NVIDIA RTX3050; без операционной системы",83110 сом
Ноутбук Acer Aspire A315-58G-72KY Intel Core i7-1165G7 20GB DDR4 120GB SSD NVIDIA MX350 FHD Pure Silver,https://www.kivano.kg/images/product/121158/1684225805_52865700.jpg,"15.6"" LCD 1920x1080~60Hz; процессор Intel Core i7-1165G7; оперативная память 20GB DDR4; накопитель 120GB SSD; видеокарта NVIDIA MX350; без операционной системы",56570 сом
Ноутбук Asus TUF Gaming FA507RC-HN007W AMD Ryzen 7 6800H 16GB DDR5 512GB SSD NVMe NVIDIA RTX3050 FHD IPS Backlit Mecha Gray,https://www.kivano.kg/images/product/122950/1688018815_50762100.jpg,"15.6"" IPS 1920x1080~144Hz; процессор AMD Ryzen 7 6800H; оперативная память 16GB DDR5; накопитель 512GB SSD NVMe; видеокарта NVIDIA RTX3050; без операционной системы",85840 сом
Ноутбук Lenovo IdeaPad 3 15IAU7 82RK00EKAK Intel Core i5-1235U 12GB DDR4 1000GB HDD + 512GB SSD Intel Iris Graphics FHD DOS Arctic Grey,https://www.kivano.kg/images/product/121159/1684225816_94331000.png,"Диагональ экрана: 15,6"" 1920х1080; Операционная система: DOS; Процессор: Intel Core i5-1235U (10/12) 1300-4400 МГц; Объем памяти: 12GB DDR4 / 1000GB HDD + 512GB SSD; Видеоконтроллер: Intel Iris Graphics; Вес: от 1.63 кг",49810 сом
Ноутбук HP Victus 15-FA1093DX Intel Core i5-13420H 24GB DDR4 512GB SSD NVIDIA RTX3050 FHD DOS Blue,https://www.kivano.kg/images/product/122951/1688018831_44146700.jpg,"15.6"" IPS 1920x1080~144Hz; процессор Intel Core i5-13420H; оперативная память 24GB DDR4; накопитель 512GB SSD; видеокарта NVIDIA RTX3050; операционная система DOS",89010 сом
Ноутбук Acer Aspire A315-58G-72KY Intel Core i7-1165G7 8GB DDR4 256GB SSD NVIDIA MX350 FHD Pure Silver,https://www.kivano.kg/images/product/121160/1684227049_28518600.jpg,"15.6"" LCD 1920x1080~60Hz; процессор Intel Core i7-1165G7; оперативная память 8GB DDR4; накопитель 256GB SSD; видеокарта NVIDIA MX350; без операционной системы",54740 сом
Ноутбук HP Victus 15-FA1093DX Intel Core i5-13420H 24GB DDR4 1000GB SSD NVIDIA RTX3050 FHD DOS Blue,https://www.kivano.kg/images/product/122952/1688018914_58833900.jpg,"15.6"" IPS 1920x1080~144Hz; процессор Intel Core i5-13420H; оперативная память 24GB DDR4; накопитель 1000GB SSD; видеокарта NVIDIA RTX3050; операционная система DOS",92190 сом
